,자산,비유동자산,유형자산,유동자산,재고자산,매출채권,자본,자본금,자본잉여금,기타포괄손익누계액,이익잉여금,부채,비유동부채,장기차입금,유동부채,단기차입금,매출액,매출원가,판매비와관리비,감가상각비,영업이익,영업외수익,영업외비용,이자보상배율,법인세비용차감전손익,법인세비용,당기순이익,기초자본금,영업활동으로 인한 현금흐름,투자활동으로 인한 현금흐름,재무활동으로 인한 현금흐름,종업원,차입금,이자비용,매출총이익률,영업이익률,순이익률,부채비율,유동부채비율,비유동부채비율,유동비율,금융비용부담률,자본유보율,자본잠식률,ROE,ROA,ROIC,매출액증가율,영업이익증가율,순이익증가율,총자산증가율,유동자산증가율,유형자산증가율,자기자본증가율,총자산회전율,자기자본회전율,순운전자본회전율,유형자산회전율,매출채권회전율,부채 대비 영업활동으로 인한 현금흐름,부채 대비 투자활동으로 인한 현금흐름,부채 대비 재무활동으로 인한 현금흐름,DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA,Beneish M-Score
자산,1.0,0.9901105754894987,0.9747566462246888,0.961947737661559,0.8893812688215931,0.9230005319467474,0.9751846977128366,0.7055882851613084,0.8690037134732941,0.28182065396347783,0.8992431635041503,0.986522523959593,0.9692942688027677,0.808273678616081,0.9719291361773371,0.8717250609265922,0.9652614902118694,0.9139383258681852,0.8360453226795487,0.675963885594837,0.9362850681533721,0.8136273807825266,0.8515962108389447,-0.004360891600022331,0.8907935728633863,0.8801430711755079,0.8680887531092483,0.7205710303608053,0.8842810424570805,-0.9296894341124775,0.07738346473196914,0.6568101381369232,0.838677419980702,0.8888067955565163,0.0017017760016501012,0.015646356531339434,0.015155484009087613,-0.000373658792074903,-0.00032139641028826793,-0.0001914295957173633,-0.0013954408816824583,-0.01318310830921878,0.02671405228793361,-0.03930334215825195,0.00010483940229150262,0.004500737502676095,0.00026593712139249203,-0.0001813913410079135,-0.0007177194973404747,-0.00044997360464304553,0.008845796635497597,0.0015767864791820972,-0.001997321353488235,-0.0026647950581259157,-0.015020233734064624,-0.0002255684194475356,0.0031433164612547446,-0.007652375797130068,-0.01706462069345216,0.015523242526438124,0.009359729267002414,-0.02079618075546516,-0.004016505976958222,0.029085199512038494,-0.002624138462092558,0.0018154991214551523,0.00017608337347516806,0.005635004451481758,0.02936071854611332,-0.013087200755914848,-0.0031287631730746997
비유동자산,0.9901105754894987,1.0,0.9785809930892898,0.9257989545459951,0.843239056826601,0.901338227597245,0.9662951008341123,0.691713672274516,0.8644934736972005,0.3116315637161346,0.8975029360854859,0.9735400110283389,0.976320271481414,0.7958709399497733,0.947221963779491,0.8392884550370562,0.936963547021576,0.8724783864303697,0.8425871036990162,0.7064855875069458,0.9182208370242491,0.7793831502205385,0.8236177215381427,-0.004447245104590674,0.8694348000120767,0.8618597974904747,0.8484767781792326,0.7052035927852649,0.883688914227317,-0.9211675231776842,0.05936661454304092,0.6248737328644803,0.803903992532067,0.8930192885676584,0.0016021404448002111,0.016771305974652453,0.016349588349022365,-0.0003685517829454766,-0.00035378738770197333,-0.0001289016300284079,-0.0033982923947840147,-0.014660499616040793,0.028978996381728187,-0.04198551761876135,0.00012086026191438043,0.0035840072388920196,0.00026588109670143883,-0.0003032517991430876,-0.0008130013346094892,-0.00044089468435255254,0.007351526152423594,0.0016449310993979856,-0.0022920377472970778,-0.0029048562959014096,-0.017388716840719198,-0.0001900586449684598,0.002999258685703295,-0.008454188621447412,-0.016050308890511636,0.016872869962541063,0.007080723565901065,-0.020554329865804168,-0.0041416261284938855,0.02885167012349524,-0.0023289522565207903,0.0016706930795533535,0.00023615694432694775,0.0057915529685163706,0.029129157452197234,-0.01605912773639487,-0.0028551952758000387
유형자산,0.9747566462246888,0.9785809930892898,1.0,0.9214230444727861,0.8582690817095914,0.9102533905481471,0.9358626068152038,0.7191631291708699,0.8421875524057029,0.32196530492157105,0.8664998326128392,0.9710157706796979,0.9722887115969001,0.8023040520315691,0.9470572109252668,0.8528737308942757,0.9422599507342159,0.888752363750903,0.806375668893399,0.6696414108653904,0.9105591357050039,0.7939703560977536,0.8366510041530971,-0.005022840209430852,0.8506326775320882,0.8394920364110653,0.8290552126760038,0.7330127197705787,0.8701607448532559,-0.912531877191123,0.07052219720618037,0.6281645242427034,0.808532177063362,0.9037959608347588,0.0017918935266495058,0.016468380923506918,0.015984262718199443,-0.0004272440650861042,-0.00035482550640375185,-0.00023938877105973363,-0.003486759887601322,-0.014920150106376009,0.01968548905590756,-0.030718659177286896,0.00011933568412764953,0.0031740993351047236,0.000265292962232128,-0.0002554004745491429,-0.0008193659420097831,-0.0004001324179513299,0.005634012403766258,0.0008684325714522222,-0.002555644839994983,-0.0032650054059391617,-0.016220385471453776,-0.0002616917252303546,0.0041464448653869765,-0.01125393105196788,-0.016476732637218855,0.016771311242203598,0.006377555342841462,-0.019765656293371035,-0.00430182489000868,0.02763135019352163,-0.0019286207800466102,0.0016533134232149284,-0.00020215120205784926,0.00495306753957918,0.027649323388706272,-0.0168541077880327,-0.002482893075333542
유동자산,0.961947737661559,0.9257989545459951,0.9214230444727861,1.0,0.9459599653433587,0.9407257824269488,0.940299497349496,0.6826090976863303,0.8340101605408249,0.24758798325120718,0.8580250540950989,0.9492975630144623,0.9088409731899197,0.7755541612121941,0.973887560648378,0.9069421054208724,0.9758162117804432,0.9470274585193974,0.805404075100527,0.6155780187514779,0.9225187879007328,0.8259423107757755,0.8521831511767975,-0.004506507907448211,0.8786960338603497,0.8655748362445218,0.8547552562084398,0.6974120329168649,0.8321927967545435,-0.8849149085817275,0.10321997458263557,0.6623965912972132,0.8501493574725589,0.8341433236520389,0.001936510276025539,0.01420968718490378,0.013582911438633098,-0.00039657347179276105,-0.00027523816950140333,-0.0003103692135402526,0.0023754783122454026,-0.011001621566557497,0.023685576918976468,-0.03494198388762683,7.951654393724942e-05,0.006733939872231118,0.00027991775489903404,3.962534855525993e-05,-0.0005416645557651328,-0.00047632399034838903,0.012209168004840936,0.001520210900284467,-0.0015794015966581053,-0.0022029120288832595,-0.010822834811118585,-0.00029699136810711557,0.0037753054841622533,-0.006672228190633219,-0.019690869624483853,0.014273784390500949,0.013494416619450599,-0.021989374485417854,-0.003912114009045403,0.03069273403529213,-0.0032502785491347152,0.0021584096624146527,8.282724628591031e-05,0.0055836118741419425,0.03097673885226602,-0.007960656007110972,-0.0037309220760949778
재고자산,0.8893812688215931,0.843239056826601,0.8582690817095914,0.9459599653433587,1.0,0.874558758429667,0.8748571379915225,0.6555829259435642,0.7709395645190552,0.2356226256810991,0.7835581400691679,0.8781092879874474,0.8237832588294413,0.7659412934392106,0.9128482755015395,0.9021704486074197,0.9266283969053528,0.937010984279242,0.6857343726532537,0.4797326692886085,0.8503087106613466,0.782473548793266,0.7947771850189947,-0.004223371689043647,0.8122928709722681,0.787803521773657,0.7920908672734215,0.6687109432571857,0.728747066422403,-0.7959731372144029,0.11733373573359257,0.6431397846738064,0.844192343395838,0.7541611926199113,0.0013702420312625366,0.00150156525091908,0.000555858799383219,-0.000535807002290695,-0.0004411702411796879,-0.0003065628368699423,0.007843339764270239,0.0011648795226560703,0.010189001035240536,-0.02170097628503555,0.0002383627737688106,0.0013953468211072636,0.00030926477021615454,0.00034813627689059045,0.00026019602718629464,-0.00039025336071599225,0.010902628645266263,0.0009286971960779931,-0.00046987207671542837,-0.0020115579095592332,-0.013991303458088212,-0.0003177948115163941,0.004534141958150317,0.001811362982429226,-0.01200376871215537,-0.0026557759789996673,0.020939820396498297,-0.01660538047370967,-0.0018880684218445037,0.0232777357837255,-0.002854198286329611,0.002004843514393961,-4.421098660938512e-05,0.004140960742027992,0.02464247395064037,0.007092302178419181,-0.0030660491392383265
매출채권,0.9230005319467474,0.901338227597245,0.9102533905481471,0.9407257824269488,0.874558758429667,1.0,0.8770728526869193,0.678668652532388,0.7779235674227438,0.2891531823687729,0.7976277772520443,0.9264191183866448,0.9003914350353338,0.7268585527485544,0.928786549987689,0.8796761518083752,0.9418321020018877,0.9087568197774015,0.7399930025821804,0.5769024897262977,0.887841396544463,0.8141962834966017,0.8549759991807274,-0.005291448108270982,0.8234787138147144,0.8060080161380396,0.8042550476144658,0.6917725749550182,0.8312457965239384,-0.8552627428143063,0.04138326159766412,0.5969856776682609,0.7876528387101202,0.8731055982505898,0.002637716217706367,0.026622909259166404,0.025832653194440135,-0.0005642985629899194,-0.0004679252546045881,-0.00031729086296330966,-0.00450053943039193,-0.022424866435639176,0.020377494986682006,-0.03019645179238458,0.00016756916213602814,0.009493911344042429,0.00039314311521348045,0.0001637574073011838,-0.000821711321963493,-0.0005332057867510276,0.01410324312992738,0.0012998184449066806,-0.002658298010243576,-0.0021289273013976205,-0.00107905431453032,-0.00033738374630839466,0.005920897129384553,-0.012969007067553788,-0.027753566734245973,0.018048980616913287,0.01794874065478813,-0.030436973147262434,-0.005463067202979805,0.03981937325773096,-0.0035790265204978986,0.002878832312678743,-9.444264467357696e-05,0.007160676199395971,0.039101363666604994,-0.015156754194086009,-0.0042652400452443725
자본,0.9751846977128366,0.9662951008341123,0.9358626068152038,0.940299497349496,0.8748571379915225,0.8770728526869193,1.0,0.6864183087324399,0.8808119810087751,0.28092948390286343,0.9368907959867554,0.9304232454154907,0.9181286639147753,0.7904130338571127,0.9294457067649115,0.8100056043978789,0.9280457676791254,0.8655877467331982,0.8465436409915869,0.6932730860955288,0.9387069086309406,0.7865915137898798,0.8148112411292765,-0.004069501540535583,0.918993639000913,0.9016646240383036,0.8980831506423552,0.7015356819219661,0.8883992468552749,-0.9209440096045421,0.04106619008788469,0.6448988537511883,0.7992626417141128,0.8218129684989459,0.0021129183555020255,0.021366137009737402,0.020852835883467254,-0.00047105403619851494,-0.0003906126311684421,-0.00026485141314771323,-0.003446697453907139,-0.018444977516898976,0.03586626280495396,-0.04884968044711054,0.00013473624914976887,0.010666738655754954,0.0003130997622126101,-0.00032296611914960245,-0.0008620316868851728,-0.0004577951189011584,0.008948137100624766,0.0014380062154254467,-0.002379420917684784,-0.0025259888936203898,-0.015635427742806938,-0.00029785164187997194,0.001913126206331954,-0.010433335237135589,-0.02063208528228178,0.026947694840045947,0.005257735451465439,-0.025614315100200548,-0.004575884042232289,0.03396555644451028,-0.002913288044868317,0.002026152535319747,0.0004281429175918093,0.007015740617515008,0.03406598618403359,-0.015394810857575091,-0.0034893857558387802
자본금,0.7055882851613084,0.691713672274516,0.7191631291708699,0.6826090976863303,0.6555829259435642,0.678668652532388,0.6864183087324399,1.0,0.6395140401984393,0.17395381534318247,0.6591552728072468,0.7015718533597219,0.6916536431022737,0.5685909134306513,0.6976874129466779,0.6086544040990846,0.679837577589998,0.6241160724531349,0.6301678392965909,0.45351316730187413,0.7183866836566807,0.6959931796220136,0.7005618990331783,-0.006028170353934605,0.6813439532440678,0.6602988260249454,0.6646044642260165,0.9745458609173734,0.6379097883985969,-0.6758829672077863,0.04141563284839477,0.6091985872830675,0.6306097268625884,0.6657565539202169,0.002326314181049511,0.0148122188728839,0.014445661761737939,-0.0006827349596560226,-0.0005657786999419594,-0.000384392270582875,-0.0005177298305409494,-0.01692415549598811,-0.011127351242782243,0.010391104173170821,0.00019383141571326817,0.0011066340780590816,0.00048116853139787793,-0.0007173644477345413,-0.0010777905626168191,-0.0007075683935216992,-0.004255004985073979,0.0006163107712445326,-0.003141234321709668,-0.006957589611203121,-0.022694473069195902,-0.0004168933716708543,0.004071236391087271,-0.00984147506736974,-0.018610613108937905,0.023809930861574513,0.0007005862331002545,-0.01872041187127369,-0.005093670472604879,0.02514987805316018,-0.0015407349421604007,0.0010360753350314945,0.0005065212420889302,0.004253617898591491,0.026328026581114564,-0.021852136319359835,-0.002208657951419423
자본잉여금,0.8690037134732941,0.8644934736972005,0.8421875524057029,0.8340101605408249,0.7709395645190552,0.7779235674227438,0.8808119810087751,0.6395140401984393,1.0,0.2717304663965294,0.7736960523421778,0.8320279889857062,0.8153916422427978,0.7009050960634244,0.844657487865587,0.7454947144573596,0.8282865421169275,0.7735722603740584,0.7746340028673728,0.6255126985721083,0.8483341723500512,0.7451691306899548,0.7735986045936404,-0.004965235755653648,0.8129661883237073,0.8106568724770578,0.792398241706879,0.6480310368540498,0.7827036217890265,-0.8215919763704935,0.08142963706016736,0.6213616350502658,0.7030143525110841,0.7418571665796928,0.0015411472606934695,0.019699686988243648,0.019243044071515423,-0.000464627241184968,-0.0003852918400840493,-0.0002612129239321842,-0.003363348877849574,-0.016630330457011556,0.028773689553940857,-0.03393442354486288,0.00012575748811060366,0.0008051977796075989,0.00024011916577983716,0.00019688163548674375,-0.0006814704561718167,-0.0004762935225530907,0.010149584103050915,0.0011336734420271208,-0.0024886167853760115,-0.002741383563531739,-0.020626013338906457,-0.0003000051755219926,0.008991757375516619,-0.009540918595413356,-0.019123422217841596,0.020311337538947014,0.0008891189455322546,-0.01582201413552642,-0.004758157982938675,0.018456033829771037,-0.0030376879928415887,0.0014706453443665086,-5.507645381945322e-05,0.0033654044200676575,0.02155998552957275,-0.01796834657247286,-0.003636604628494511
기타포괄손익누계액,0.28182065396347783,0.3116315637161346,0.32196530492157105,0.24758798325120718,0.2356226256810991,0.2891531823687729,0.28092948390286343,0.17395381534318247,0.2717304663965294,1.0,0.24548479175367596,0.2620877106121595,0.2881525354933708,0.2157010589007803,0.2399783037790921,0.2422883515422611,0.24251112016447196,0.22966882608084704,0.2077248607937882,0.22787063091982349,0.22869937751930278,0.2460947975784082,0.2195337911302829,-0.0026329045626515167,0.21331894696858716,0.18847435911366694,0.21554467561643487,0.17845009670584216,0.21924208308844634,-0.2590890170749328,0.10502973607761304,0.16666882776239644,0.14626834226301216,0.23566598974907227,0.0013673869195806724,0.012910603199864588,0.012675920717575584,-0.0003029741849110956,-0.0002512357866838265,-0.00017032473349144205,-0.002533479152225865,-0.010780614632375203,0.013409050625131527,-0.027768289708013188,8.250212147237104e-05,0.00033882314683519616,0.00017581093197357209,-0.0004035867553592949,-0.0006825454744080804,0.00012733107686513666,0.010001865664153026,0.0031468215074309225,-0.001656766318958638,0.003328545333217358,-0.013523995004524409,-0.0001935704778354136,0.0007400986114547623,-0.006487868676071799,-0.011299086056502658,0.007225759909121543,0.008140977791345226,-0.013737822117775213,-0.002647541662344391,0.022731245854487075,-0.0014428949320618861,0.0011608764732678287,7.579522580244829e-05,0.004320442800277458,0.02125713027735165,-0.008032597287729495,-0.001780014310698927
