,자산,자본,부채,매출액,영업이익,당기순이익,영업활동으로 인한 현금흐름,재무활동으로 인한 현금흐름,투자활동으로 인한 현금흐름,매출총이익률,순이익률,매출액증가율,영업이익증가율,Beneish M-Score
자산,1.0,0.9751846977128366,0.986522523959593,0.9652614902118694,0.9362850681533721,0.8680887531092483,0.8842810424570805,0.07738346473196914,-0.9296894341124775,0.0017017760016501012,0.015155484009087613,-0.0001813913410079135,-0.0007177194973404747,-0.0031287631730746997
자본,0.9751846977128366,1.0,0.9304232454154907,0.9280457676791254,0.9387069086309406,0.8980831506423552,0.8883992468552749,0.04106619008788469,-0.9209440096045421,0.0021129183555020255,0.020852835883467254,-0.00032296611914960245,-0.0008620316868851728,-0.0034893857558387802
부채,0.986522523959593,0.9304232454154907,1.0,0.9657058055244465,0.907677852394313,0.8241357336675252,0.8567289448250092,0.09292110254470115,-0.9108631306529266,0.001313706844484186,0.01049503585922828,-7.001955995920899e-05,-0.0005897114534526781,-0.0027332268286495683
매출액,0.9652614902118694,0.9280457676791254,0.9657058055244465,1.0,0.9274832063679113,0.8535370926586007,0.8483785296279065,0.07987085926379597,-0.8960276211822175,0.0023056988201164376,0.02209017175450504,3.8976106676647876e-05,-0.0007169019221517168,-0.0037051163537025695
영업이익,0.9362850681533721,0.9387069086309406,0.907677852394313,0.9274832063679113,1.0,0.9380119759701608,0.9048727758274071,0.002889150652561859,-0.9085516984852036,0.0028799978465638863,0.02570931357805246,0.0002710342754921325,-3.559069744193639e-05,-0.003174436835383771
당기순이익,0.8680887531092483,0.8980831506423552,0.8241357336675252,0.8535370926586007,0.9380119759701608,1.0,0.858088925180925,-0.0053390512363415184,-0.86168710168899,0.0032011357968493174,0.02856657365511909,0.0003935244288280564,7.481151239937789e-05,-0.002829045119606211
영업활동으로 인한 현금흐름,0.8842810424570805,0.8883992468552749,0.8567289448250092,0.8483785296279065,0.9048727758274071,0.858088925180925,1.0,-0.16942916734248256,-0.8889670960587837,0.003016138827376701,0.03611600288655786,8.712509359086827e-05,-0.0006909955691360203,-0.002561061701214707
재무활동으로 인한 현금흐름,0.07738346473196914,0.04106619008788469,0.09292110254470115,0.07987085926379597,0.002889150652561859,-0.0053390512363415184,-0.16942916734248256,1.0,-0.18338683211110937,-0.00632553454500057,-0.08966684634114573,-0.0010534976149405124,0.00010541731550310794,-0.003164022370272113
투자활동으로 인한 현금흐름,-0.9296894341124775,-0.9209440096045421,-0.9108631306529266,-0.8960276211822175,-0.9085516984852036,-0.86168710168899,-0.8889670960587837,-0.18338683211110937,1.0,-0.0005747715142739634,-0.004442352819372481,0.00033973724812576907,0.0006656722289362313,0.0034164505891598946
매출총이익률,0.0017017760016501012,0.0021129183555020255,0.001313706844484186,0.0023056988201164376,0.0028799978465638863,0.0032011357968493174,0.003016138827376701,-0.00632553454500057,-0.0005747715142739634,1.0,0.10199738931110389,0.0005537598930684981,0.0004892672683977842,0.0012546559647572334
순이익률,0.015155484009087613,0.020852835883467254,0.01049503585922828,0.02209017175450504,0.02570931357805246,0.02856657365511909,0.03611600288655786,-0.08966684634114573,-0.004442352819372481,0.10199738931110389,1.0,0.005305285568428703,0.0046870172349591285,0.012016500760365324
매출액증가율,-0.0001813913410079135,-0.00032296611914960245,-7.001955995920899e-05,3.8976106676647876e-05,0.0002710342754921325,0.0003935244288280564,8.712509359086827e-05,-0.0010534976149405124,0.00033973724812576907,0.0005537598930684981,0.005305285568428703,1.0,0.1504379817352827,0.01887688390193655
영업이익증가율,-0.0007177194973404747,-0.0008620316868851728,-0.0005897114534526781,-0.0007169019221517168,-3.559069744193639e-05,7.481151239937789e-05,-0.0006909955691360203,0.00010541731550310794,0.0006656722289362313,0.0004892672683977842,0.0046870172349591285,0.1504379817352827,1.0,0.013918223089042512
Beneish M-Score,-0.0031287631730746997,-0.0034893857558387802,-0.0027332268286495683,-0.0037051163537025695,-0.003174436835383771,-0.002829045119606211,-0.002561061701214707,-0.003164022370272113,0.0034164505891598946,0.0012546559647572334,0.012016500760365324,0.01887688390193655,0.013918223089042512,1.0
