,종업원,자산,비유동자산,유형자산,유동자산,재고자산,매출채권,자본,자본금,자본잉여금,기타포괄손익누계액,이익잉여금,부채,비유동부채,장기차입금,유동부채,단기차입금,매출액,매출원가,판매비와관리비,감가상각비,영업이익,영업외수익,영업외비용,이자비용,법인세비용차감전손익,법인세비용,당기순이익,기초자본금,영업활동으로 인한 현금흐름,투자활동으로 인한 현금흐름,재무활동으로 인한 현금흐름,차입금,매출총이익률,영업이익률,순이익률,부채비율,유동부채비율,비유동부채비율,유동비율,이자보상배율,금융비용부담률,자본유보율,자본잠식률,부채 대비 영업활동으로 인한 현금흐름,부채 대비 투자활동으로 인한 현금흐름,부채 대비 재무활동으로 인한 현금흐름,ROE,ROA,ROIC,매출액증가율,영업이익증가율,순이익증가율,총자산증가율,유동자산증가율,유형자산증가율,자기자본증가율,총자산회전율,자기자본회전율,순운전자본회전율,유형자산회전율,매출채권회전율,DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA,Beneish M-Score
종업원,1.0,0.4522239580474874,0.42341267544192807,0.39029777034929397,0.41797716658331735,0.26785327924084124,0.4381804596696077,0.471205733503832,0.3463178063168433,0.3337564759160248,0.162759533706882,0.44383378618118186,0.3981541410492597,0.30518418065486663,0.156267444214491,0.4215618768301646,0.20976872021086224,0.5129245371927801,0.47099167183896895,0.5029773241945157,0.37282138837685735,0.4351940636197695,0.3946382191457504,0.36870484052143515,0.29697428586483643,0.40299851742735615,0.41018944886019787,0.38770416406812636,0.29969340136360934,0.3500008604422866,-0.28516668887739544,-0.04563789938293482,0.23418405086756328,0.009040820494444097,0.09812335363766646,0.09538440553506318,-0.0022509121043763737,-0.0018716242558500878,-0.0012567923681770373,-0.017223445128900314,-0.007418502250398845,-0.08252752251652211,0.03246387246441168,-0.030607934681566567,0.11069768718029217,0.004999606201585527,-0.0842359217847835,0.000655630745303827,0.06618572767909336,0.0009084504321918729,3.9625567502392e-05,-0.0020292253974851333,-0.0014170507402670952,0.06266988246281548,0.0010557020629333143,-0.013216580751228276,-0.0011199389256995069,0.08517256258068288,-0.0007523182939794236,-0.0007931817524218166,-0.05703013225360635,-0.07963676997992708,-0.013257095643387454,0.13351636910781048,-0.013487697524611663,0.009093805810937666,9.078617719280449e-05,0.023155339266560205,0.12906750280209328,-0.06321150725762874,-0.01507797560848004
자산,0.4522239580474874,1.0,0.9415282984965843,0.8190293667099975,0.8527102030189274,0.6021905228129156,0.7298641515101527,0.9300323859289811,0.7074340258076536,0.7011008730797754,0.3322239962188419,0.7376014807338723,0.9413200522247472,0.8076929414378304,0.573601649612548,0.8737855995957365,0.527001862432997,0.7951572764042104,0.7409454595894621,0.6376716163361776,0.5208119052530469,0.7820460656035111,0.7392517741191765,0.7830275900031992,0.7525416731808346,0.6565907267226545,0.6851224688099296,0.6269942716065137,0.6060626984651015,0.48089038200524514,-0.5828803831861341,0.1405174875675595,0.7381632817697252,0.00299364004771204,0.012159630709639536,0.011488875401222412,-0.0009005094935837643,-0.0009192404738801083,-0.00022666490803392793,0.01862881926311064,-0.0016661966709388392,-0.010454855343573365,0.04640239812165042,-0.06402009564899293,0.03081769813981155,0.018907498661837413,-0.0371183475839149,0.00024933783450353304,0.02376760498518303,0.0009784796638338323,0.0019322528444306371,0.00042099041480561606,-0.000946253569414112,0.05362983127001621,0.012800849545213721,-0.0005546917267654072,0.002972907045294404,-0.04544139938414564,-0.00040795554953096077,0.00015085248616371192,0.008760236977446002,-0.024807618190484562,-0.000131471605201804,0.09323465744517713,-0.005511904085574355,0.007900311723636646,0.004268015631523102,0.022844917386525238,0.09990975294793793,-0.009228216107470743,-0.005443658939168115
비유동자산,0.42341267544192807,0.9415282984965843,1.0,0.8750464195182758,0.6496435935556741,0.4098384881958051,0.5997863047505654,0.8994550481363958,0.7058468863008545,0.7233662378577862,0.3565704264630876,0.6756188665262185,0.8748206080751859,0.8069494959245631,0.5540138105915763,0.7655990979796482,0.4528310863056881,0.6973320836572791,0.6401207895029604,0.5893162435514268,0.5188985260358813,0.7149097115942408,0.6930531480292498,0.7417513958744609,0.7306266068201979,0.5944398585234436,0.5999317055640843,0.5720395967015296,0.5994688182679361,0.5286521012766436,-0.60074296960258,0.08925297676563013,0.682864050717249,0.001971038115160913,0.03254406492058702,0.03270008926027281,-0.0008792420339975183,-0.001389568016483573,0.0005802387411993934,-0.01072108374783325,-0.004469621856853155,-0.034875746875727275,0.049626348740050494,-0.07324785444260377,0.055469438483966925,-0.01457081789538619,-0.034216994906524294,0.0004900914304845531,0.017718371873190038,0.0010288409711952506,0.00016583455326494556,-0.001525246230147458,-0.0008463045527017654,0.034017838431989154,0.015215481556621906,-0.005335959478206444,-0.0012775673112673028,-0.061315993018093415,5.107185734157778e-05,0.000532874011910936,-0.0062871697367162605,-0.01491775542531883,-0.003438808563519267,0.08153741715459262,-0.0018925931098847319,0.0054875177469750624,0.0044999941569559025,0.022886100952992008,0.09190955146406159,-0.04673653591957658,-0.0023301848893967107
유형자산,0.39029777034929397,0.8190293667099975,0.8750464195182758,1.0,0.5696351547241485,0.3676866215442995,0.5520167014625715,0.7620333358141681,0.6836191374730235,0.6054044464011288,0.3049614081335257,0.5661725737566554,0.7843564134858548,0.7340728708460518,0.5185615347985684,0.6884658522891184,0.3902838023290518,0.6343630315714449,0.5910162048725452,0.5177572217768346,0.49949865178015557,0.6351932889559241,0.5487453728343908,0.6224357151287855,0.6451962547227589,0.5147472857920213,0.5220302394357463,0.49716516636207364,0.5528691897298839,0.5199085381039485,-0.5932669387391947,0.08097153196653324,0.6104346357494038,0.005197117646492226,0.033141168403184734,0.03230787236985266,-0.0018742951809788005,-0.00156131287898671,-0.0010421462549250562,-0.012974804116077519,-0.014234833883823574,-0.04364048415514823,0.03151725000537011,-0.052337617659699034,0.06464594833846805,-0.02937959727801983,-0.028686575890755524,0.0005186892188947483,0.015609680874685034,0.0010647353300409384,0.0005726352337564238,-0.0019057388864576466,-0.00035088990012091276,0.02914918260864456,0.0025598678688135775,-0.010007240055889854,-0.0025856576211351627,-0.06734830287513957,-0.0010645756591846852,-0.00031730474706363374,-0.049751965391881335,-0.024985396481174562,-0.0067564952717194355,0.080795300378118,0.0035237040059166707,0.005906453061897568,-0.0013356671227562344,0.014177238505963302,0.0834082007809606,-0.060424246366506465,0.0025508028486223664
유동자산,0.41797716658331735,0.8527102030189274,0.6496435935556741,0.5696351547241485,1.0,0.7884814100849,0.7932518097230699,0.7626603359029952,0.5703146778895775,0.5220380081633013,0.2232659296695525,0.6754877980149597,0.8352973774998891,0.6395469343378638,0.4755668767826193,0.8628891071386113,0.538970475162215,0.7889972211689039,0.7523936771251508,0.5971215046528786,0.4223984701226983,0.7188757376713957,0.6756309171406288,0.6963111339785579,0.6406844637854059,0.6133994834347365,0.670382092235995,0.5793240923238011,0.5049488867520439,0.31268951986670723,-0.4345947063599365,0.1847024567345509,0.6609887999850212,0.0039024247031283735,-0.022167806649837207,-0.02396145714489781,-0.0007191378879158058,6.50557072878147e-05,-0.0014820216284003641,0.06277814622313499,0.0009948982488558527,0.030468912259000665,0.02859764531170894,-0.029801188029358834,-0.015442197580217688,0.06841796099188864,-0.03346868476322706,-0.0002048134963572325,0.029091057862950343,0.0007042750101058512,0.004377395823721053,0.003497342232733743,-0.0008865579524026229,0.0714794447066952,0.006507661523317855,0.006597168327097792,0.008758065119136968,-0.0070889698481438465,-0.0010529213612513288,-0.00047572408688946433,0.027282757874776565,-0.037901430654349255,0.0050625909107929225,0.09239161384776129,-0.010069592548018876,0.010159377804785255,0.0027639774176985857,0.01753475162474422,0.09197289783829167,0.05337933520729548,-0.009224542227405047
재고자산,0.26785327924084124,0.6021905228129156,0.4098384881958051,0.3676866215442995,0.7884814100849,1.0,0.45744279670031024,0.49217790753466756,0.41366309959553604,0.3493036047960583,0.16603233107110754,0.4280406445558457,0.631322776493724,0.5058229845583575,0.439914836599862,0.6392507961357462,0.50628175910275,0.5167430772903884,0.5030511439194194,0.4278495186706155,0.2705207053474635,0.45863762690122206,0.43984879645712577,0.4999748425338077,0.5044466837420482,0.3611155799842697,0.4357160466683034,0.33282971249796883,0.36345364959420445,0.02630381397664375,-0.25624893696561823,0.2735622893727514,0.6093386853362124,-0.0008209107855962364,-0.10937529498031555,-0.11364537010202387,-0.0019243933702227955,-0.0015693832798415641,-0.0011263197944756669,0.08659188229783203,-0.00041484145470472775,0.11240390695046043,-0.01658561204740961,0.014887622304701028,-0.1264110489280694,0.09632640070667173,0.019745737694683702,0.0012705755411371235,-0.021794676353355576,0.000879332565107922,0.004314891104391757,0.00810672656975036,-0.0003284275788978647,0.032567767419964,-0.0005120286368351536,0.012137741217985935,0.0035385776001601,-0.04867333234631942,-0.0010685481113485457,-0.0010172167948978785,0.08282572070178038,0.025792771383247405,0.017033555409152502,0.00704384386821959,-0.005444591040237424,0.004665579183368557,0.0006995172772635183,7.848024958864846e-05,0.014624905897786021,0.14244682305859843,-0.003045542305478967
매출채권,0.4381804596696077,0.7298641515101527,0.5997863047505654,0.5520167014625715,0.7932518097230699,0.45744279670031024,1.0,0.6997593801060639,0.4950882404863956,0.473512506782413,0.20610244443563033,0.6414308921596851,0.684575266715727,0.48048697934312845,0.29378759937607435,0.757493083716978,0.4007611844564795,0.8275326488818844,0.8108597528679026,0.560457759334348,0.40686311837781214,0.6836408251052962,0.6173821594961258,0.6234649583589054,0.5337743684014297,0.5985517970933378,0.6341604931532252,0.5709228310202448,0.4314736575802905,0.4210970281551439,-0.35811345276136736,-0.040835532053709454,0.4393538519552801,0.01031038436255032,0.10811298557863516,0.10495861597131606,-0.00229670408438427,-0.0019041412077817098,-0.0012914016819551206,-0.017028671443302747,-0.0061590468516451655,-0.09112649286786907,0.03593894762657722,-0.03369173494843364,0.04935039380845604,0.07380302723569299,-0.10520141836583169,0.0007291969735007131,0.06375672872574856,0.0017148641565438985,0.004893626524138234,0.00020754774949111108,-0.0012085396133346134,0.08468635813620176,0.0044035005731916654,-0.0051610518801303955,0.010963453826647488,0.08034279878791929,-0.0013007817456142357,0.00035525649757797045,-0.040762780826014144,-0.11328576970042373,-0.010849932069400863,0.167110666607769,-0.011430821700635611,0.015646250573357633,0.0002816605561024039,0.030420611612350146,0.1576565415260832,-0.02223236768687966,-0.01272620463886829
자본,0.471205733503832,0.9300323859289811,0.8994550481363958,0.7620333358141681,0.7626603359029952,0.49217790753466756,0.6997593801060639,1.0,0.6736669541361205,0.7092141927647984,0.34529568062287663,0.8415338881435666,0.7759333296186505,0.6548350330552731,0.41982282409364957,0.7445760709973073,0.4132931563021565,0.7660283690638138,0.7064861315305427,0.6220844317510015,0.5065734296485184,0.7979844567549946,0.7252578203948126,0.6879219301617219,0.604764054803302,0.7277943858873973,0.7132170124300098,0.7063981020670129,0.5956977834896634,0.5543514129727726,-0.5239962626304632,0.005215241091677241,0.5538393129053563,0.006477060423911158,0.07078426682877176,0.07037986602773855,-0.0017507978735092035,-0.0014516265790719659,-0.0009843295752622087,-0.00984615748401835,0.006868559183633583,-0.06573496198862401,0.09544509926433498,-0.10537205340071011,0.10171833934503505,-0.0031002730968931504,-0.07317525772762068,0.0005155465831685692,0.07341755820670617,0.0011344837812424402,0.0006372669367797273,-0.0008312216139237309,-0.0009990699886829235,0.04365483513091445,0.012663395974897294,-0.003400906352420835,0.0031354096236743956,-0.02500134646897715,-0.0010597662479304398,-0.00015675709905901242,-0.020140981166253277,-0.05258125269065259,-0.00309496212580257,0.139116607843864,-0.006243604797910811,0.009587386368041153,0.0073171331642255585,0.03650039878629084,0.1428286701210127,-0.03266163151746726,-0.006566514508156748
자본금,0.3463178063168433,0.7074340258076536,0.7058468863008545,0.6836191374730235,0.5703146778895775,0.41366309959553604,0.4950882404863956,0.6736669541361205,1.0,0.489619211308318,0.192057612898807,0.4235160891365954,0.6739018439834947,0.6356786698134437,0.42467553888792203,0.6027466374837914,0.3060159503366383,0.5472395552816095,0.5154150434368137,0.43903504662447507,0.36358479939690547,0.539819456320016,0.5254989609849965,0.6050150596714482,0.5955244762300799,0.4231642375402914,0.4488567725599964,0.40249746690449356,0.7783338200445408,0.39391515278762484,-0.4628101540330193,0.07714451365675568,0.4962694240288603,0.0028206449002415733,-0.0028447299427158917,-0.0024608966607286274,-0.0013295657510376195,-0.0011011481483951917,-0.0007494684322247243,0.00804775078571196,-0.005962949614811052,-0.014396765460947663,-0.028107377580304096,0.02737416548327683,0.01880211666802082,-0.028333747171851813,0.011773422286858022,0.00039020150289782485,-0.013921537688524098,0.0010771493852405336,6.308444456277206e-05,-0.0010243747603449424,-0.001003522264626514,-0.00024345458270618353,0.0063621108225952565,-0.004077365650516302,-0.009410312817288687,-0.04086817975323254,-0.0007819105171026979,-0.00021251549754616763,-0.004517050613651602,-0.009172272321473749,-0.003341055215693005,0.03729507372398554,0.003108883713858857,0.00256888731151515,0.0026442947212861646,0.0065356575737738586,0.040730784713306656,-0.033497256980415106,0.002606447784299882
자본잉여금,0.3337564759160248,0.7011008730797754,0.7233662378577862,0.6054044464011288,0.5220380081633013,0.3493036047960583,0.473512506782413,0.7092141927647984,0.489619211308318,1.0,0.19113226887606555,0.39254416411815246,0.6312797513173878,0.581082357118944,0.3952648529264994,0.5629701772040778,0.31230856968001,0.5125550045356039,0.47135892179628036,0.44669336585515457,0.3575821369673503,0.5092460422432328,0.507313178129647,0.5771270082211273,0.5430664307354431,0.40686693929239814,0.42286971738307866,0.38662685087522963,0.4184807165888036,0.3829586839171143,-0.4108420101426267,0.050421145934822005,0.4795215177317485,-0.001984830919905464,0.02062131665100697,0.021221038480324892,-0.0008665552673131238,-0.0007186841975216819,-0.00048685552812643637,-0.0039394430904861645,-0.0009544524995591577,-0.017802505077159848,0.03144203651780296,-0.03803256267308817,0.01907740122108159,-0.011467773627995935,-0.0003661568596200451,0.00022423425712816427,-0.02038498641296215,0.0002418212700211795,0.00443698857383874,0.00026338255991367163,-0.00044730111554834725,0.008964061803488117,0.0045522295949911385,-0.0016943251298059741,-0.0028723319408952034,-0.043277701141547824,-0.0005673759253457587,-7.050961310650197e-05,0.0010874537814606388,-0.009333907330625774,-0.000505242745795745,0.028274631026832493,-0.0035014618007127556,0.006351467291043602,0.0016167551750292672,0.007701730151919528,0.048145779563715865,-0.03197413996463561,-0.0035154035442306105
