,자산,자본,부채,매출액,영업이익,당기순이익,영업활동으로 인한 현금흐름,재무활동으로 인한 현금흐름,투자활동으로 인한 현금흐름,매출총이익률,순이익률,매출액증가율,영업이익증가율,Beneish M-Score
자산,1.0,0.9300323859289811,0.9413200522247472,0.7951572764042104,0.7820460656035111,0.6269942716065137,0.48089038200524514,0.1405174875675595,-0.5828803831861341,0.00299364004771204,0.011488875401222412,0.0019322528444306371,0.00042099041480561606,-0.005443658939168115
자본,0.9300323859289811,1.0,0.7759333296186505,0.7660283690638138,0.7979844567549946,0.7063981020670129,0.5543514129727726,0.005215241091677241,-0.5239962626304632,0.006477060423911158,0.07037986602773855,0.0006372669367797273,-0.0008312216139237309,-0.006566514508156748
부채,0.9413200522247472,0.7759333296186505,1.0,0.7380331504266309,0.6913069368184374,0.5027839652844098,0.38185794845395243,0.2295485049523101,-0.5749876184710597,-0.000408434134190351,-0.03573461769664921,0.0026349707845433022,0.0013213608690456154,-0.004020553422061946
매출액,0.7951572764042104,0.7660283690638138,0.7380331504266309,1.0,0.7751914475728805,0.6509799833496787,0.516376159258696,-0.04620804377646526,-0.43454961930820585,0.011369836379644335,0.10917710967766163,0.0043381437697795604,0.0002555049718344071,-0.013309363608416636
영업이익,0.7820460656035111,0.7979844567549946,0.6913069368184374,0.7751914475728805,1.0,0.863037809851304,0.6217047617812921,-0.1031882685606954,-0.46045731125949885,0.014606163272681957,0.1184544672669986,0.006933748351543147,0.007234809780183276,-0.0022953057098956645
당기순이익,0.6269942716065137,0.7063981020670129,0.5027839652844098,0.6509799833496787,0.863037809851304,1.0,0.578850914411327,-0.15816560382983172,-0.3740750437466209,0.016162099392463027,0.13484968194168195,0.006302776252863383,0.006585286544779693,-0.00014959826609797804
영업활동으로 인한 현금흐름,0.48089038200524514,0.5543514129727726,0.38185794845395243,0.516376159258696,0.6217047617812921,0.578850914411327,1.0,-0.47606955040228377,-0.4067757339797247,0.01828534800988668,0.25430708020120824,0.004297841868727688,0.00038560483182921727,-0.0011170579215106643
재무활동으로 인한 현금흐름,0.1405174875675595,0.005215241091677241,0.2295485049523101,-0.04620804377646526,-0.1031882685606954,-0.15816560382983172,-0.47606955040228377,1.0,-0.4775395933950494,-0.02282406389549228,-0.3218866838550391,-0.004020120361000053,-0.00013178834710796634,-0.010207415688260226
투자활동으로 인한 현금흐름,-0.5828803831861341,-0.5239962626304632,-0.5749876184710597,-0.43454961930820585,-0.46045731125949885,-0.3740750437466209,-0.4067757339797247,-0.4775395933950494,1.0,0.00853784851247026,0.09400840485928474,0.0010770792393757413,0.0008513071988544809,0.010900200587430232
매출총이익률,0.00299364004771204,0.006477060423911158,-0.000408434134190351,0.011369836379644335,0.014606163272681957,0.016162099392463027,0.01828534800988668,-0.02282406389549228,0.00853784851247026,1.0,0.10175885210014385,0.000570392252822738,0.0005142601140970133,0.001345277582473572
순이익률,0.011488875401222412,0.07037986602773855,-0.03573461769664921,0.10917710967766163,0.1184544672669986,0.13484968194168195,0.25430708020120824,-0.3218866838550391,0.09400840485928474,0.10175885210014385,1.0,0.005476856428196864,0.004937488550580481,0.012913513479018347
매출액증가율,0.0019322528444306371,0.0006372669367797273,0.0026349707845433022,0.0043381437697795604,0.006933748351543147,0.006302776252863383,0.004297841868727688,-0.004020120361000053,0.0010770792393757413,0.000570392252822738,0.005476856428196864,1.0,0.15072609444358742,0.018850064249137446
영업이익증가율,0.00042099041480561606,-0.0008312216139237309,0.0013213608690456154,0.0002555049718344071,0.007234809780183276,0.006585286544779693,0.00038560483182921727,-0.00013178834710796634,0.0008513071988544809,0.0005142601140970133,0.004937488550580481,0.15072609444358742,1.0,0.013909195873602724
Beneish M-Score,-0.005443658939168115,-0.006566514508156748,-0.004020553422061946,-0.013309363608416636,-0.0022953057098956645,-0.00014959826609797804,-0.0011170579215106643,-0.010207415688260226,0.010900200587430232,0.001345277582473572,0.012913513479018347,0.018850064249137446,0.013909195873602724,1.0
