,자산,비유동자산,유형자산,유동자산,재고자산,매출채권,자본,자본금,자본잉여금,기타포괄손익누계액,이익잉여금,부채,비유동부채,장기차입금,유동부채,단기차입금,매출액,매출원가,판매비와관리비,감가상각비,영업이익,영업외수익,영업외비용,이자보상배율,법인세비용차감전손익,법인세비용,당기순이익,기초자본금,영업활동으로 인한 현금흐름,투자활동으로 인한 현금흐름,재무활동으로 인한 현금흐름,종업원,총차입금(원),이자비용,매출총이익률,영업이익률,순이익률,부채비율,유동부채비율,비유동부채비율,유동비율,금융비용부담률,자본유보율,자본잠식률,ROE,ROA,ROIC,매출액증가율,영업이익증가율,순이익증가율,총자산증가율,유동자산증가율,유형자산증가율,자기자본증가율,총자산회전율,자기자본회전율,순운전자본회전율,유형자산회전율,매출채권회전율,부채 대비 영업활동으로 인한 현금흐름,부채 대비 투자활동으로 인한 현금흐름,부채 대비 재무활동으로 인한 현금흐름,DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA,Beneish M-Score,Marcap,Close,Open,High,Low,Volume,PER,PBR
자산,1.0,0.989935412338314,0.974362193384657,0.9608402618449506,0.8878568354596839,0.9208042482765588,0.9743286607742571,0.7059434473354615,0.8644505783945368,0.2667939742917107,0.8950682680817268,0.9864387067823392,0.9698359365199541,0.817661066156253,0.9711879386669114,0.8700884278733491,0.9644388286122364,0.9112285833734456,0.8291038239220029,0.6633355593997525,0.9342342735838471,0.8074286067338897,0.8465707692817555,-0.001589464876236385,0.8874159797064245,0.875307531993779,0.8639689844011754,0.7144877703037406,0.8824810996125132,-0.9293670294760896,0.0751901784954776,0.6485872502737333,0.8360017462282167,0.8859331756979631,0.014824922947974878,0.015033110431619227,0.016272416534984176,0.051919018191856674,0.013263112202465654,0.07275186316760725,-0.10436505120599614,-0.0027414386722192825,0.28037895650767614,-0.3225695171994412,0.008959818911003059,0.0008438726589105268,0.0028300751114923098,0.013664498108548457,-0.0002950013363517661,-0.0019362133853486532,0.008507426123575053,0.03568769796678178,0.003059529381194069,0.004337715907063956,-0.049810337433458675,0.014185223418718076,0.005685033001484181,-0.020265441733851388,0.02782960487948874,-0.018231350444694993,0.05229111162728569,-0.05018389929474487,0.04334191414136948,0.12018781795852018,0.058921596275653215,0.10936259499517166,0.07201545987265179,0.11482835355180737,0.12017888661858689,-0.02920351155083494,0.045815410955321746,0.5205437991018798,0.3384817510545105,0.33843878568216823,0.337658413045771,0.3390515222692184,0.09555581627457065,0.002682001943203748,0.03511787762170966
비유동자산,0.989935412338314,1.0,0.978170719417688,0.9240606745803481,0.8409622511023227,0.8990423307507799,0.9652760193678739,0.690406033589201,0.859799479957792,0.2977571277533028,0.8938464365378961,0.9731104414939261,0.9770240100163736,0.8042338341059443,0.9458765913812548,0.8366640005472166,0.9353314438736741,0.8684098902633437,0.8365724827753234,0.6956580212895682,0.9157816346666919,0.7718128053731044,0.8174710538830086,-0.0014457499687517178,0.8655279207627115,0.8568256363007521,0.8438951429979008,0.6981341762643186,0.8816617455714246,-0.9203522122889896,0.05686210463168446,0.6156693432087101,0.7999813808447662,0.8904528521780153,0.03486797746358313,0.015110353161495378,0.016823684109273544,0.05125312256080788,0.009441763577102795,0.07698795490471867,-0.11076932577835243,-0.0011064368470939808,0.2996450531128673,-0.33668577460917776,0.007980758046566618,-0.0015265389529169132,0.0023788002013499124,0.012268554100815255,3.743113795143005e-05,-0.0020172163064150284,0.00718503591480138,0.03031730705913116,0.0019180334531598352,0.003648368722075603,-0.06367491871699053,0.007295718160707639,0.005291840329618452,-0.025941508589249804,0.031114815690291463,-0.018522320645005027,0.051264840432330705,-0.04964425131225254,0.05047402080337548,0.1199665865242244,0.059872006556414274,0.1071331387614074,0.07471239782449465,0.11436137738354084,0.11865700753677116,-0.03281573760683597,0.05284683100734026,0.4981076226066983,0.33610026748367194,0.3360025076368072,0.33524041988139663,0.33661163460854093,0.09081215597935206,0.0020814372214763978,0.0280516457795718
유형자산,0.974362193384657,0.978170719417688,1.0,0.9199354735061815,0.8572165028944885,0.9089099225452583,0.9339495984583668,0.7219093803125524,0.8372968335049699,0.309437888159099,0.8617682746621385,0.9708011501468046,0.9732578812691801,0.8121948695121383,0.9461369631381709,0.8515798751038864,0.9411754662813842,0.8856305882908503,0.7988428235710935,0.657246022742684,0.9082713830535412,0.7883838202750105,0.8320913029854863,-0.0012132995497011467,0.8463295549695075,0.8337261913227425,0.8240612097099653,0.7291145229999586,0.867484218011778,-0.9112849910219857,0.06909854303907774,0.6192496979054839,0.8051070707986386,0.9025008445267734,0.002412154873539138,0.01213394004758205,0.013892728663107146,0.057036819532226904,0.015224627270945841,0.08213187979819081,-0.11366370022769992,-0.0005365829592973347,0.21051345474402988,-0.25109801597121023,0.008185936847574014,-0.0021562297100428795,0.0027979272687709304,0.013352231124247722,7.861679421028587e-05,-0.0020532901734119174,0.002668243958191402,0.034219963471485204,0.002842376510090394,-0.0017395562488720028,-0.049887965080073524,0.015898979141632314,0.008681155538594835,-0.028818679645829185,0.0052589538208355265,-0.019461101527435007,0.051492573004751296,-0.048872704170681236,0.025854301971376024,0.11622697562266533,0.05536098572676773,0.1057564418472531,0.06612004789781675,0.11115069780893543,0.1163240666001162,-0.034611767580030414,0.02811695355648486,0.4830689244271655,0.31973941859154087,0.31967501767837103,0.31893457312042284,0.32024772791837963,0.09166742174537842,0.000528040173945998,0.025060596234327936
유동자산,0.9608402618449506,0.9240606745803481,0.9199354735061815,1.0,0.9457616751284607,0.9385772583599451,0.9380566325759389,0.6803711379313157,0.8273139322849556,0.23094229747858727,0.8515727741600003,0.9485367725272027,0.9079966083120252,0.7832991523154964,0.9734622651240851,0.907176837555065,0.9759029487808354,0.9464594193092082,0.7967432778430926,0.5999527396332569,0.9196598840393484,0.8206303045618049,0.8477414404940787,-0.0017990909857925064,0.874510396133184,0.8596614048149246,0.84974197025012,0.6891643862138618,0.829287582529037,-0.8838510609230473,0.10128051323824468,0.6548849443981218,0.8493272764375022,0.8290706981182937,-0.014537837961163544,0.01579343974620122,0.016178437040057954,0.05281949097544142,0.02147422136532802,0.06634987226873797,-0.0911307776421876,-0.0060595487681885255,0.25687670816491703,-0.3018764932336532,0.011132357451197549,0.006317985361678239,0.003662914108924249,0.01616588701713988,-0.0006214115043752872,-0.0016010193882560568,0.012288728461118661,0.04422766695438643,0.005036348836206452,0.0077380307611853525,-0.02161971120187111,0.02825447412639772,0.007375124054514461,-0.00939451286724998,0.026988058372908717,-0.015672434905445162,0.05476426407363178,-0.052709198593917525,0.03655966418404773,0.12331457492578231,0.059200933669984135,0.11557606169114773,0.06937023894217606,0.11828929951488203,0.12524573628841437,-0.022102898238100036,0.03929308956635387,0.5369243815141495,0.34348607866773667,0.3435200719613199,0.34274200941413857,0.34410189665197144,0.09580321283577697,0.0036618943936911506,0.04552012514125794
재고자산,0.8878568354596839,0.8409622511023227,0.8572165028944885,0.9457616751284607,1.0,0.8735713674133592,0.8731685158757886,0.6544349784861059,0.7648003915046199,0.22032271937049028,0.7771726502215474,0.8765096991967971,0.8209061017347465,0.7727024253342735,0.9122584058584051,0.9037629688431802,0.9279693037708393,0.9394566335580563,0.6741575914990852,0.4610095398911009,0.8475997367946826,0.7784533967320031,0.7903168679159368,-0.002013232484923035,0.8088913573186868,0.7816314853019838,0.7881597088166911,0.662113857588476,0.7258907671017366,-0.7939997924730595,0.11146308403692298,0.6375396486482664,0.8440319899676045,0.7472519204161161,-0.06911824981429684,0.013665199710464768,0.01390651685743032,0.04779784514087631,0.020758304409393653,0.05809091011464299,-0.0847159129712642,-0.006378658383223161,0.15006951323676151,-0.21873190690744437,0.009903556502993712,0.005245228542113764,0.0035583424953577855,0.02302355283240588,8.952785171889176e-05,-0.0008526200798271078,0.015556621057072157,0.0423817856684074,0.005794392163252755,0.010562762927028327,-0.00671934023790537,0.03266894407224342,0.010028346301500488,-0.002743584610919418,0.001754791525746844,-0.02362835031649354,0.05815332841186044,-0.052186626327114655,0.01737096907848011,0.11777869118502263,0.0597595074560421,0.11750848510090886,0.0629643514382143,0.11520039331805607,0.12119766048929914,-0.00912416207726771,0.020403515654959344,0.5158933227485464,0.31633888466629156,0.31642787079065865,0.31564605913765365,0.3170171924308292,0.08512910346980336,0.005596713315609171,0.03835140953382508
매출채권,0.9208042482765588,0.8990423307507799,0.9089099225452583,0.9385772583599451,0.8735713674133592,1.0,0.8713811658156108,0.6762393865391375,0.7673388576004061,0.27446498612669984,0.7878468281191583,0.925997180064117,0.9010327227970485,0.734403433999205,0.9267687394872677,0.8800951114600323,0.9400873967733825,0.9062335213809011,0.7278912040182183,0.5593985530499348,0.8831301051072423,0.8088720553907117,0.8515924574897044,-0.0018742686936364763,0.8159356879757214,0.7967876306400478,0.7960974278050506,0.6836007378314277,0.8279617917434263,-0.8538545556308016,0.04047610739649113,0.5865716471900217,0.7861813541814099,0.8716060235219663,-0.03291610612859201,0.01332995736375265,0.013794666561075022,0.06616602170995727,0.03129856861270981,0.080194310490529,-0.11155806523571342,-0.003747805280916414,0.20763433928420966,-0.252848372423883,0.011408550323964598,0.0025125827461161404,0.003988189615681281,0.01839057525944804,-0.0005624549565624333,-0.0017957050005783265,0.011079156474243903,0.041980545067681486,0.007276241194483097,0.004947699918867262,0.00041726613433538403,0.044741461828519916,0.013167709023435668,-0.009945154544354283,-0.016258245848635264,-0.02700906084310522,0.06596545074925665,-0.05785768627078419,0.005382316710698171,0.12884626019059858,0.06201567484255986,0.12059078078793785,0.08001053098610461,0.12209419504957383,0.1299625870534998,-0.0267266081058102,0.008249759545124281,0.5015210847177156,0.30377183431520727,0.30376824284468373,0.3030552469215103,0.304317040513006,0.09020991910901335,0.002143971820462923,0.033533284513314374
자본,0.9743286607742571,0.9652760193678739,0.9339495984583668,0.9380566325759389,0.8731685158757886,0.8713811658156108,1.0,0.6828994707094193,0.8757205117971395,0.2644995437630042,0.9340834731717073,0.9288793417490975,0.9176223930195715,0.8007344964513068,0.9271014651996624,0.805452353070353,0.925350514882117,0.8607719694880834,0.8399314640372949,0.6810508246702414,0.9362533197794897,0.7787244394444821,0.8084001751118323,-0.001187306498734617,0.9163694474701296,0.8975502171800824,0.8946676237567524,0.6924251951810182,0.8865975646230417,-0.9210378187609609,0.03882821286013762,0.6361509917442458,0.7967195775302975,0.816356064850971,0.04392270656927071,0.02249023996160709,0.02369629217149365,0.03032008611900707,-0.004168577505869866,0.05387502867923963,-0.08857588071139934,-0.005871704524837776,0.3413133991831364,-0.37864723070027345,0.010550941736075545,0.010102860095747356,0.004082781110562706,0.012475658846307634,-0.00019690145752756247,-0.0006990683224072496,0.009063965521406524,0.031211633381279563,0.001488165261307463,0.01065045961175569,-0.06339453882120173,-0.00417125531148543,0.002050914896726913,-0.020323712260379004,0.038080174517439905,0.002454456280665491,0.045768327389610175,-0.05608148791550268,0.05274809330625969,0.1253929870139625,0.06328595915254481,0.1143890969889308,0.077873988992464,0.12121555763211071,0.12483114563225657,-0.027457337169764576,0.055409704360802114,0.5349921774555905,0.37908807067893663,0.37905845850895614,0.37826929970216244,0.3796909304971956,0.09198879330288791,0.004447102217927286,0.038622942473783506
자본금,0.7059434473354615,0.690406033589201,0.7219093803125524,0.6803711379313157,0.6544349784861059,0.6762393865391375,0.6828994707094193,1.0,0.6307656824939581,0.15386266521451694,0.6596437571527772,0.7045290485752909,0.6919537543378937,0.5609884875457725,0.6980694606616688,0.607171650888735,0.6804292955444814,0.6223821077998807,0.6289621691027655,0.4418318566016107,0.7199902140871803,0.6981717880581607,0.7014122662590314,-0.0013917473264296063,0.6823076400928928,0.659857381195891,0.6645281413394769,0.9875688462089001,0.6390135208504046,-0.6789203972989416,0.03438015364808583,0.6158464608370551,0.6354130242620124,0.6625107082625794,0.015514294638619459,0.021732988429860725,0.015271364210161311,0.04915005587514695,0.02117720647989382,0.06506846185315608,-0.09483238764773957,0.002495142743020873,-0.031245302044383347,0.02254475875805371,0.006001182168299831,0.008057737212360843,0.001545202274661972,-0.014732232659272168,-0.0006848318927647615,-0.003509113269103986,-0.029748530312387313,-0.010648156055778974,-0.01352306276097805,-0.021283403359880042,-0.04534752281965937,0.010974879906084768,0.008631471964941644,-0.018842388101676016,-0.006660623290713332,0.002560115777963525,0.05461457527035739,-0.06334794934965735,-0.00040240371037284623,0.08774972378280879,0.04062841672651521,0.06361335897064986,0.04780686235820689,0.08310149714612254,0.08625088609337876,-0.03131784395785329,0.000906354436238431,0.3763752354402051,0.16182435091351605,0.16189837588188416,0.16128871545884668,0.16240978520021687,0.12238336572928106,-0.0004390511055273043,0.02341414355713329
자본잉여금,0.8644505783945368,0.859799479957792,0.8372968335049699,0.8273139322849556,0.7648003915046199,0.7673388576004061,0.8757205117971395,0.6307656824939581,1.0,0.25561291805901165,0.7646375164189714,0.8276741931375241,0.8110940954013021,0.7034481385744698,0.8396535167527269,0.7386748824403986,0.8225055265811367,0.7664826623044375,0.7659446195912986,0.6112007725355227,0.8429170899538271,0.7373073865780025,0.7663787678632016,0.0009609709751507281,0.8070652229438275,0.8039579170135808,0.7857572317053962,0.6353770923102752,0.7778000803778301,-0.8188456737711262,0.08091177440307173,0.6137560742495434,0.6981542331856345,0.7325797706811418,0.052126061812411126,0.011323918488074075,0.01710369402330542,0.03688105015433153,0.005068883647263814,0.058484404415647125,-0.09518560396699044,-0.0008840747298556069,0.30521327100565576,-0.2792838449169042,0.006666402239233122,-0.0010183971999429187,0.0012587762295640395,0.020936277492835876,0.002111489106247524,-0.0012275890697412814,0.021108104484263222,0.03656635269394418,0.0004627759511576549,0.021472008125963286,-0.0803111734711665,-0.005735739588424405,0.021852753868476123,-0.005302109988904686,0.019734046804434257,-0.01075922396310789,0.03714649882511797,-0.039025026163017285,0.030139361904900585,0.08637955097375759,0.042456545666593924,0.08935168076209594,0.046648450237610786,0.0835961267239082,0.08734178853703031,-0.03313070956276817,0.03187057210315219,0.4840438551020209,0.3167832381356497,0.3167915001758763,0.3164646948594673,0.3169566895587724,0.09945373751994704,0.010623156752860918,0.04677551793957496
기타포괄손익누계액,0.2667939742917107,0.2977571277533028,0.309437888159099,0.23094229747858727,0.22032271937049028,0.27446498612669984,0.2644995437630042,0.15386266521451694,0.25561291805901165,1.0,0.2289343755577818,0.24806127012823434,0.2756537227615685,0.20410067642689145,0.22332086865223952,0.22615478674995818,0.2264507648646902,0.21444011299018195,0.19091158434056044,0.2142626096933193,0.2109163527055663,0.23098993259534997,0.2036987159182292,-0.0013467987410016723,0.1957577270946839,0.16993282289465408,0.19843456164185116,0.15822628368295266,0.2046844702672257,-0.24641512351036157,0.10901036404174018,0.1539177578013285,0.13173055071828307,0.2203704181268383,0.013886969662398378,0.005512922295970062,0.0056784806820507835,0.014711252861676452,-0.005355025475356615,0.03290601360947581,-0.05023522594472425,-0.002062329911768714,0.15239073173078152,-0.16217883070595343,0.0026524006007468347,-0.00404755878517446,0.0009662486853996016,-0.009044817848838874,-0.0022758856730856654,0.00237567374237553,0.007635387331885363,-0.0029555267344976597,-0.0003307195634077493,0.009969587030211224,-0.050618560487742575,-0.01020063578893233,0.0006737743414175262,-0.016882235744298098,-0.01084546723562012,-0.01869897432896269,0.02569423603957122,-0.01983234071711631,-0.008807122625737837,0.06306477476608711,0.03373373334215804,0.045831015295529104,0.04190753009802396,0.06281674374492033,0.06575986749771327,-0.003190303635300374,-0.007422721313416602,0.10786122739875037,0.31225930467260654,0.3118472997844079,0.3119419119561286,0.3119524734351987,0.037662756930413564,0.008626174076744347,-0.012668599749740375
