,자산,자본,부채,매출액,영업이익,당기순이익,영업활동으로 인한 현금흐름,재무활동으로 인한 현금흐름,투자활동으로 인한 현금흐름,매출총이익률,순이익률,매출액증가율,영업이익증가율,Beneish M-Score
자산,1.0,0.9743286607742571,0.9864387067823392,0.9644388286122364,0.9342342735838471,0.8639689844011754,0.8824810996125132,0.0751901784954776,-0.9293670294760896,0.014824922947974878,0.016272416534984176,0.013664498108548457,-0.0002950013363517661,0.045815410955321746
자본,0.9743286607742571,1.0,0.9288793417490975,0.925350514882117,0.9362533197794897,0.8946676237567524,0.8865975646230417,0.03882821286013762,-0.9210378187609609,0.04392270656927071,0.02369629217149365,0.012475658846307634,-0.00019690145752756247,0.055409704360802114
부채,0.9864387067823392,0.9288793417490975,1.0,0.9656360708050847,0.9056800219860847,0.8196853345191153,0.8545863643566881,0.09014320412130147,-0.909777106352658,-0.010539682234839193,0.010173832614362336,0.014443896736861332,-0.0004243407397965424,0.03271959697032474
매출액,0.9644388286122364,0.925350514882117,0.9656360708050847,1.0,0.9249503373748074,0.8483769132467841,0.8446079890053844,0.08171560137742151,-0.8950607863056509,-0.035271452376918214,0.011380018449261094,0.016537237057335365,-0.00015042766648197875,0.02776326456103238
영업이익,0.9342342735838471,0.9362533197794897,0.9056800219860847,0.9249503373748074,1.0,0.9356370690977968,0.9036538928455589,0.0006473649356635586,-0.9087819290531769,0.060387380309847125,0.028231423289592945,0.015128062174088165,0.0017989696118481107,0.03292787794323527
당기순이익,0.8639689844011754,0.8946676237567524,0.8196853345191153,0.8483769132467841,0.9356370690977968,1.0,0.8551032143966695,-0.005645830731821771,-0.8608503142357357,0.07701599008475733,0.0914689770585361,0.01793023145751298,0.0019785782797120594,0.03128340408804605
영업활동으로 인한 현금흐름,0.8824810996125132,0.8865975646230417,0.8545863643566881,0.8446079890053844,0.9036538928455589,0.8551032143966695,1.0,-0.17181862885044263,-0.8888795654618513,0.074327516393948,0.02137446012337285,0.009869247893355072,-0.0011995150869525612,0.022543509215940862
재무활동으로 인한 현금흐름,0.0751901784954776,0.03882821286013762,0.09014320412130147,0.08171560137742151,0.0006473649356635586,-0.005645830731821771,-0.17181862885044263,1.0,-0.1785935737440257,-0.03668421953105573,-0.015980878151646935,0.009622077655151355,0.0032127305038941005,0.01227719258774982
투자활동으로 인한 현금흐름,-0.9293670294760896,-0.9210378187609609,-0.909777106352658,-0.8950607863056509,-0.9087819290531769,-0.8608503142357357,-0.8888795654618513,-0.1785935737440257,1.0,-0.0495034583372824,-0.013920446922131943,-0.01418964998115124,-0.0007773633732593456,-0.01721637740283921
매출총이익률,0.014824922947974878,0.04392270656927071,-0.010539682234839193,-0.035271452376918214,0.060387380309847125,0.07701599008475733,0.074327516393948,-0.03668421953105573,-0.0495034583372824,1.0,0.025834317147298974,-0.004996670496071134,0.009348527661154179,0.017994601049061098
순이익률,0.016272416534984176,0.02369629217149365,0.010173832614362336,0.011380018449261094,0.028231423289592945,0.0914689770585361,0.02137446012337285,-0.015980878151646935,-0.013920446922131943,0.025834317147298974,1.0,0.007362567810937066,0.0031297193391689143,0.018227495698110243
매출액증가율,0.013664498108548457,0.012475658846307634,0.014443896736861332,0.016537237057335365,0.015128062174088165,0.01793023145751298,0.009869247893355072,0.009622077655151355,-0.01418964998115124,-0.004996670496071134,0.007362567810937066,1.0,0.08232089209798461,0.010044063800319906
영업이익증가율,-0.0002950013363517661,-0.00019690145752756247,-0.0004243407397965424,-0.00015042766648197875,0.0017989696118481107,0.0019785782797120594,-0.0011995150869525612,0.0032127305038941005,-0.0007773633732593456,0.009348527661154179,0.0031297193391689143,0.08232089209798461,1.0,0.0018638353336741021
Beneish M-Score,0.045815410955321746,0.055409704360802114,0.03271959697032474,0.02776326456103238,0.03292787794323527,0.03128340408804605,0.022543509215940862,0.01227719258774982,-0.01721637740283921,0.017994601049061098,0.018227495698110243,0.010044063800319906,0.0018638353336741021,1.0
